Gene	P value	Adjusted P value	Log2 Fold Change	Cluster
DDX3Y	2.225074E-308	2.225074E-308	0.67063448	NFKBIZ+HIF1A+
SERTAD1	2.225074E-308	2.225074E-308	0.665322941	NFKBIZ+HIF1A+
HERPUD1	2.225074E-308	2.225074E-308	0.662989905	NFKBIZ+HIF1A+
NFKB2	2.225074E-308	2.225074E-308	0.658633804	NFKBIZ+HIF1A+
ABCA1	2.225074E-308	2.225074E-308	0.657565326	NFKBIZ+HIF1A+
MYLIP	2.225074E-308	2.225074E-308	0.657025963	NFKBIZ+HIF1A+
CWC25	2.225074E-308	2.225074E-308	0.654995279	NFKBIZ+HIF1A+
RLF	2.225074E-308	2.225074E-308	0.654806206	NFKBIZ+HIF1A+
B3GNT5	2.225074E-308	2.225074E-308	0.653627273	NFKBIZ+HIF1A+
PIP4P1	2.225074E-308	2.225074E-308	0.652077747	NFKBIZ+HIF1A+
PLK3	2.225074E-308	2.225074E-308	0.647268535	NFKBIZ+HIF1A+
RNF144B	2.225074E-308	2.225074E-308	0.645326369	NFKBIZ+HIF1A+
SLC45A4	2.225074E-308	2.225074E-308	0.637379932	NFKBIZ+HIF1A+
JMJD6	2.225074E-308	2.225074E-308	0.634533975	NFKBIZ+HIF1A+
HCAR3	2.225074E-308	2.225074E-308	0.631728496	NFKBIZ+HIF1A+
GABARAPL1	2.225074E-308	2.225074E-308	0.630651838	NFKBIZ+HIF1A+
TANK	2.225074E-308	2.225074E-308	0.627963921	NFKBIZ+HIF1A+
FNDC3B	2.225074E-308	2.225074E-308	0.62724142	NFKBIZ+HIF1A+
NSMAF	2.225074E-308	2.225074E-308	0.623007374	NFKBIZ+HIF1A+
NAPA	2.225074E-308	2.225074E-308	0.622769996	NFKBIZ+HIF1A+
STK10	2.225074E-308	2.225074E-308	0.620961697	NFKBIZ+HIF1A+
PER1	2.225074E-308	2.225074E-308	0.616401834	NFKBIZ+HIF1A+
FOSL2	2.225074E-308	2.225074E-308	0.615356725	NFKBIZ+HIF1A+
PMAIP1	2.225074E-308	2.225074E-308	0.614849236	NFKBIZ+HIF1A+
N4BP1	2.225074E-308	2.225074E-308	0.610436658	NFKBIZ+HIF1A+
IER5	2.225074E-308	2.225074E-308	0.609181163	NFKBIZ+HIF1A+
WTAP	2.225074E-308	2.225074E-308	0.602255809	NFKBIZ+HIF1A+
MECP2	2.225074E-308	2.225074E-308	0.599983232	NFKBIZ+HIF1A+
LUCAT1	2.225074E-308	2.225074E-308	0.597369958	NFKBIZ+HIF1A+
EHD1	2.225074E-308	2.225074E-308	0.591208758	NFKBIZ+HIF1A+
AC015912-3	2.225074E-308	2.225074E-308	0.588557986	NFKBIZ+HIF1A+
FCAR	2.225074E-308	2.225074E-308	0.582397902	NFKBIZ+HIF1A+
SLC15A4	2.225074E-308	2.225074E-308	0.579020959	NFKBIZ+HIF1A+
TAGAP	2.225074E-308	2.225074E-308	0.576961993	NFKBIZ+HIF1A+
LINC01578	2.225074E-308	2.225074E-308	0.575163083	NFKBIZ+HIF1A+
LGALS3	2.225074E-308	2.225074E-308	0.571668963	NFKBIZ+HIF1A+
DNTTIP2	2.225074E-308	2.225074E-308	0.570097698	NFKBIZ+HIF1A+
HCAR2	2.225074E-308	2.225074E-308	0.568275676	NFKBIZ+HIF1A+
SRSF2	2.225074E-308	2.225074E-308	0.561469288	NFKBIZ+HIF1A+
ECE1	2.225074E-308	2.225074E-308	0.560634439	NFKBIZ+HIF1A+
HES4	2.225074E-308	2.225074E-308	0.560029771	NFKBIZ+HIF1A+
BCL3	2.225074E-308	2.225074E-308	0.556055608	NFKBIZ+HIF1A+
FNIP1	2.225074E-308	2.225074E-308	0.555917131	NFKBIZ+HIF1A+
FAM177A1	2.225074E-308	2.225074E-308	0.554914962	NFKBIZ+HIF1A+
ETF1	2.225074E-308	2.225074E-308	0.553572519	NFKBIZ+HIF1A+
RAB1A	2.225074E-308	2.225074E-308	0.550751615	NFKBIZ+HIF1A+
SH3BP5	2.225074E-308	2.225074E-308	0.54974426	NFKBIZ+HIF1A+
ICAM1	2.225074E-308	2.225074E-308	0.547758579	NFKBIZ+HIF1A+
ZFAND5	2.225074E-308	2.225074E-308	0.541631289	NFKBIZ+HIF1A+
SKIL	2.225074E-308	2.225074E-308	0.541238299	NFKBIZ+HIF1A+
CLK1	2.225074E-308	2.225074E-308	0.540382476	NFKBIZ+HIF1A+
AZIN1	2.225074E-308	2.225074E-308	0.538535691	NFKBIZ+HIF1A+
MAP2K3	2.225074E-308	2.225074E-308	0.536315531	NFKBIZ+HIF1A+
HLA-F	2.225074E-308	2.225074E-308	0.534346463	NFKBIZ+HIF1A+
ATP6V1G1	2.225074E-308	2.225074E-308	0.532221551	NFKBIZ+HIF1A+
HNRNPA3	2.225074E-308	2.225074E-308	0.532187708	NFKBIZ+HIF1A+
GADD45B	2.225074E-308	2.225074E-308	0.530279057	NFKBIZ+HIF1A+
GPCPD1	2.225074E-308	2.225074E-308	0.528109269	NFKBIZ+HIF1A+
PFKFB3	2.225074E-308	2.225074E-308	0.52028875	NFKBIZ+HIF1A+
ATG2A	2.225074E-308	2.225074E-308	0.518289567	NFKBIZ+HIF1A+
BZW1	2.225074E-308	2.225074E-308	0.514595654	NFKBIZ+HIF1A+
SQSTM1	2.225074E-308	2.225074E-308	0.510270194	NFKBIZ+HIF1A+
CSRNP1	2.225074E-308	2.225074E-308	0.508947651	NFKBIZ+HIF1A+
SPAG9	2.225074E-308	2.225074E-308	0.504260629	NFKBIZ+HIF1A+
SRSF3	2.225074E-308	2.225074E-308	0.503758668	NFKBIZ+HIF1A+
CHD1	2.225074E-308	2.225074E-308	0.503163275	NFKBIZ+HIF1A+
EIF5	2.225074E-308	2.225074E-308	0.494019261	NFKBIZ+HIF1A+
PPP1R10	2.225074E-308	2.225074E-308	0.490141677	NFKBIZ+HIF1A+
TNFAIP6	2.225074E-308	2.225074E-308	0.486724269	NFKBIZ+HIF1A+
SUB1	2.225074E-308	2.225074E-308	0.486442952	NFKBIZ+HIF1A+
YTHDC1	2.225074E-308	2.225074E-308	0.482915499	NFKBIZ+HIF1A+
TNIP1	2.225074E-308	2.225074E-308	0.479837627	NFKBIZ+HIF1A+
PPIF	2.225074E-308	2.225074E-308	0.479599127	NFKBIZ+HIF1A+
NR4A2	2.225074E-308	2.225074E-308	0.466304394	NFKBIZ+HIF1A+
ARHGDIA	2.225074E-308	2.225074E-308	0.461905069	NFKBIZ+HIF1A+
RILPL2	2.225074E-308	2.225074E-308	0.458143204	NFKBIZ+HIF1A+
ETS2	2.225074E-308	2.225074E-308	0.453550885	NFKBIZ+HIF1A+
BRD2	2.225074E-308	2.225074E-308	0.449167753	NFKBIZ+HIF1A+
GRINA	2.225074E-308	2.225074E-308	0.448776703	NFKBIZ+HIF1A+
RNASEK	2.225074E-308	2.225074E-308	0.444808916	NFKBIZ+HIF1A+
CCNL1	2.225074E-308	2.225074E-308	0.441491232	NFKBIZ+HIF1A+
CDC42EP3	2.225074E-308	2.225074E-308	0.440050006	NFKBIZ+HIF1A+
PHACTR1	2.225074E-308	2.225074E-308	0.43993597	NFKBIZ+HIF1A+
CHD2	2.225074E-308	2.225074E-308	0.439786009	NFKBIZ+HIF1A+
IFNGR2	2.225074E-308	2.225074E-308	0.437350768	NFKBIZ+HIF1A+
GK	2.225074E-308	2.225074E-308	0.424103471	NFKBIZ+HIF1A+
OSM	2.225074E-308	2.225074E-308	0.414062757	NFKBIZ+HIF1A+
CXCL16	2.225074E-308	2.225074E-308	0.40325774	NFKBIZ+HIF1A+
HNRNPC	2.225074E-308	2.225074E-308	0.390778692	NFKBIZ+HIF1A+
NINJ1	2.225074E-308	2.225074E-308	0.372488276	NFKBIZ+HIF1A+
PTPRE	2.225074E-308	2.225074E-308	0.370494565	NFKBIZ+HIF1A+
IRAK3	2.225074E-308	2.225074E-308	0.340969633	NFKBIZ+HIF1A+
ZFAS1	2.225074E-308	2.225074E-308	0.336943778	NFKBIZ+HIF1A+
LCP2	2.225074E-308	2.225074E-308	0.336722944	NFKBIZ+HIF1A+
PPP1R15A	2.225074E-308	2.225074E-308	0.332829374	NFKBIZ+HIF1A+
SRSF5	2.225074E-308	2.225074E-308	0.327288555	NFKBIZ+HIF1A+
CCL3	2.225074E-308	2.225074E-308	0.326489472	NFKBIZ+HIF1A+
YPEL5	2.225074E-308	2.225074E-308	0.318506766	NFKBIZ+HIF1A+
JMJD1C	2.225074E-308	2.225074E-308	0.313795168	NFKBIZ+HIF1A+
CD63	2.225074E-308	2.225074E-308	0.30630467	NFKBIZ+HIF1A+
HIF1A	2.225074E-308	2.225074E-308	0.305622393	NFKBIZ+HIF1A+
FOSB	2.225074E-308	2.225074E-308	0.303814563	NFKBIZ+HIF1A+
KDM6B	2.225074E-308	2.225074E-308	0.298663253	NFKBIZ+HIF1A+
TRIB1	2.225074E-308	2.225074E-308	0.289204738	NFKBIZ+HIF1A+
GABARAP	2.225074E-308	2.225074E-308	0.288887978	NFKBIZ+HIF1A+
NFKBIZ	2.225074E-308	2.225074E-308	0.283147513	NFKBIZ+HIF1A+
PDE4B	2.225074E-308	2.225074E-308	0.267720322	NFKBIZ+HIF1A+
C15orf48	2.225074E-308	2.225074E-308	0.26733962	NFKBIZ+HIF1A+
CPD	2.225074E-308	2.225074E-308	0.258241584	NFKBIZ+HIF1A+
ASAH1	2.225074E-308	2.225074E-308	0.252782828	NFKBIZ+HIF1A+
IER3	2.225074E-308	2.225074E-308	0.252447892	NFKBIZ+HIF1A+
CCL3L1	2.225074E-308	2.225074E-308	0.251870167	NFKBIZ+HIF1A+
KCNAB2	2.04E-307	5.19E-303	1.09383944	NFKBIZ+HIF1A+
MAP1LC3A	2.09E-307	5.30E-303	0.718134596	NFKBIZ+HIF1A+
AC087239-1	2.42E-305	6.13E-301	0.733909034	NFKBIZ+HIF1A+
DDX21	1.32E-304	3.35E-300	0.52942001	NFKBIZ+HIF1A+
HIVEP1	1.22E-303	3.09E-299	0.882062918	NFKBIZ+HIF1A+
MAPKAPK2	1.94E-302	4.94E-298	0.456430288	NFKBIZ+HIF1A+
SNN	1.73E-301	4.38E-297	0.642820696	NFKBIZ+HIF1A+
BID	1.35E-300	3.43E-296	0.51252086	NFKBIZ+HIF1A+
DOCK4	5.83E-300	1.48E-295	0.675095467	NFKBIZ+HIF1A+
ZFC3H1	1.76E-298	4.46E-294	0.714987941	NFKBIZ+HIF1A+
AC084871-1	7.39E-298	1.88E-293	0.695008208	NFKBIZ+HIF1A+
SERTAD2	6.78E-296	1.72E-291	0.935225714	NFKBIZ+HIF1A+
GNG2	1.41E-295	3.59E-291	0.419321506	NFKBIZ+HIF1A+
SELENOK	1.47E-294	3.73E-290	0.375852976	NFKBIZ+HIF1A+
DSE	8.53E-294	2.17E-289	0.625904356	NFKBIZ+HIF1A+
LINC-PINT	1.23E-293	3.13E-289	0.87691616	NFKBIZ+HIF1A+
ATP2B1	4.13E-293	1.05E-288	0.343165907	NFKBIZ+HIF1A+
FBRS	2.41E-292	6.13E-288	0.816316348	NFKBIZ+HIF1A+
GAK	1.23E-290	3.11E-286	0.957453792	NFKBIZ+HIF1A+
NEU1	1.52E-289	3.86E-285	0.685608241	NFKBIZ+HIF1A+
SEPTIN7	1.59E-288	4.05E-284	1.005376244	NFKBIZ+HIF1A+
ZNF429	8.82E-288	2.24E-283	0.792195658	NFKBIZ+HIF1A+
TLE3	1.51E-286	3.85E-282	0.476399022	NFKBIZ+HIF1A+
NUP98	7.31E-286	1.86E-281	0.66650017	NFKBIZ+HIF1A+
C9orf72	2.87E-285	7.30E-281	0.482285022	NFKBIZ+HIF1A+
TOP1	9.06E-284	2.30E-279	0.617850191	NFKBIZ+HIF1A+
UBR4	3.47E-282	8.81E-278	0.801111745	NFKBIZ+HIF1A+
LAMTOR3	4.89E-281	1.24E-276	0.615001895	NFKBIZ+HIF1A+
GGA1	1.04E-278	2.65E-274	0.807078027	NFKBIZ+HIF1A+
PATL1	2.14E-278	5.44E-274	0.880533769	NFKBIZ+HIF1A+
AL121603-2	2.46E-276	6.24E-272	0.872435772	NFKBIZ+HIF1A+
OSER1	3.33E-272	8.46E-268	0.543373088	NFKBIZ+HIF1A+
SUSD6	7.66E-270	1.95E-265	0.789528222	NFKBIZ+HIF1A+
THAP9-AS1	9.02E-269	2.29E-264	0.760978618	NFKBIZ+HIF1A+
VOPP1	3.01E-268	7.63E-264	0.901315116	NFKBIZ+HIF1A+
CNOT1	1.20E-267	3.05E-263	0.647724617	NFKBIZ+HIF1A+
TNFSF14	4.67E-267	1.19E-262	0.600763324	NFKBIZ+HIF1A+
PI3	2.81E-262	7.14E-258	0.329482483	NFKBIZ+HIF1A+
TPD52L2	1.34E-261	3.39E-257	0.578098731	NFKBIZ+HIF1A+
CD48	2.13E-261	5.40E-257	0.83684027	NFKBIZ+HIF1A+
LAMP1	2.86E-261	7.26E-257	0.724407905	NFKBIZ+HIF1A+
MTMR14	4.66E-258	1.18E-253	0.774764616	NFKBIZ+HIF1A+
XBP1	1.05E-257	2.67E-253	0.681906651	NFKBIZ+HIF1A+
RAB32	7.78E-257	1.97E-252	0.721975417	NFKBIZ+HIF1A+
FUS	2.30E-255	5.84E-251	0.35567513	NFKBIZ+HIF1A+
COQ10B	1.98E-254	5.03E-250	0.651490787	NFKBIZ+HIF1A+
EIF4A3	2.25E-253	5.71E-249	0.566034418	NFKBIZ+HIF1A+
MCOLN1	4.38E-252	1.11E-247	0.60367319	NFKBIZ+HIF1A+
APLP2	7.02E-252	1.78E-247	0.347668681	NFKBIZ+HIF1A+
ADAM17	9.68E-252	2.46E-247	0.644159589	NFKBIZ+HIF1A+
CCNK	2.01E-251	5.10E-247	0.77256894	NFKBIZ+HIF1A+
RESF1	5.49E-250	1.39E-245	0.380758644	NFKBIZ+HIF1A+
CCDC59	1.61E-249	4.09E-245	0.754907752	NFKBIZ+HIF1A+
UBAP1	3.86E-248	9.81E-244	0.566302135	NFKBIZ+HIF1A+
PLIN2	1.35E-247	3.42E-243	0.583959027	NFKBIZ+HIF1A+
SUCO	1.94E-246	4.92E-242	0.789319754	NFKBIZ+HIF1A+
PRRC2C	5.99E-244	1.52E-239	0.453706402	NFKBIZ+HIF1A+
GUK1	1.00E-243	2.54E-239	0.382055696	NFKBIZ+HIF1A+
PRDM2	5.14E-242	1.31E-237	0.647897795	NFKBIZ+HIF1A+
RIT1	1.29E-241	3.27E-237	0.583293438	NFKBIZ+HIF1A+
VPS4B	2.07E-241	5.26E-237	0.619551328	NFKBIZ+HIF1A+
CSNK1D	7.24E-240	1.84E-235	0.330388678	NFKBIZ+HIF1A+
ITGAX	1.71E-239	4.35E-235	0.281497064	NFKBIZ+HIF1A+
EIF5A	2.77E-239	7.02E-235	0.83407752	NFKBIZ+HIF1A+
LAMB3	8.71E-239	2.21E-234	0.677500723	NFKBIZ+HIF1A+
CAST	9.48E-239	2.41E-234	0.467557781	NFKBIZ+HIF1A+
STX4	1.66E-238	4.20E-234	0.495119575	NFKBIZ+HIF1A+
ERN1	1.04E-237	2.64E-233	0.624300888	NFKBIZ+HIF1A+
BRAF	2.32E-237	5.90E-233	0.54417668	NFKBIZ+HIF1A+
DNAJC3	2.59E-237	6.57E-233	0.554832771	NFKBIZ+HIF1A+
SPTY2D1	2.27E-236	5.75E-232	0.612205315	NFKBIZ+HIF1A+
ALDOA	5.02E-236	1.28E-231	0.44370839	NFKBIZ+HIF1A+
NPC2	8.13E-236	2.06E-231	0.383765323	NFKBIZ+HIF1A+
TRA2A	2.26E-235	5.74E-231	0.676951516	NFKBIZ+HIF1A+
ATP6V0D1	3.28E-235	8.33E-231	0.27097035	NFKBIZ+HIF1A+
BLOC1S6	3.57E-234	9.07E-230	0.656449723	NFKBIZ+HIF1A+
YME1L1	3.85E-233	9.78E-229	0.402559107	NFKBIZ+HIF1A+
GPATCH2L	6.38E-232	1.62E-227	0.99875596	NFKBIZ+HIF1A+
RELT	1.46E-229	3.71E-225	0.608719137	NFKBIZ+HIF1A+
ZFAND3	3.52E-229	8.93E-225	0.488983603	NFKBIZ+HIF1A+
PILRA	1.28E-228	3.26E-224	0.384882257	NFKBIZ+HIF1A+
SIN3A	1.06E-227	2.68E-223	0.876932706	NFKBIZ+HIF1A+
PCF11	2.06E-227	5.22E-223	0.677666841	NFKBIZ+HIF1A+
ELL2	2.64E-227	6.71E-223	0.338433476	NFKBIZ+HIF1A+
CDC42SE1	1.01E-226	2.56E-222	0.318417294	NFKBIZ+HIF1A+
PIM2	2.28E-225	5.78E-221	0.512001455	NFKBIZ+HIF1A+
UBALD2	4.69E-224	1.19E-219	0.300306447	NFKBIZ+HIF1A+
REL	2.86E-223	7.27E-219	0.431648442	NFKBIZ+HIF1A+
PSEN1	6.42E-223	1.63E-218	0.631445817	NFKBIZ+HIF1A+
METRNL	4.72E-222	1.20E-217	0.549261885	NFKBIZ+HIF1A+
RAB5A	5.40E-222	1.37E-217	0.433544137	NFKBIZ+HIF1A+
IL1RAP	3.45E-221	8.75E-217	0.557964624	NFKBIZ+HIF1A+
SAP30BP	1.15E-220	2.92E-216	0.628775538	NFKBIZ+HIF1A+
ADGRG3	2.11E-219	5.35E-215	0.299805339	NFKBIZ+HIF1A+
STX3	3.57E-219	9.06E-215	0.332283635	NFKBIZ+HIF1A+
UBE2S	4.49E-219	1.14E-214	0.445788627	NFKBIZ+HIF1A+
MIR4435-2HG	6.06E-219	1.54E-214	0.69812637	NFKBIZ+HIF1A+
SIK3	1.05E-217	2.66E-213	0.634855901	NFKBIZ+HIF1A+
MGAT1	3.42E-217	8.69E-213	0.576476502	NFKBIZ+HIF1A+
DMXL2	6.03E-217	1.53E-212	0.637517882	NFKBIZ+HIF1A+
CREG1	1.58E-214	4.02E-210	0.662520646	NFKBIZ+HIF1A+
ZSWIM6	2.86E-214	7.26E-210	0.694490966	NFKBIZ+HIF1A+
QKI	4.46E-214	1.13E-209	0.420851322	NFKBIZ+HIF1A+
AP1G1	3.88E-213	9.85E-209	0.501800953	NFKBIZ+HIF1A+
FOXO3	1.20E-212	3.06E-208	0.300245467	NFKBIZ+HIF1A+
GNA13	3.11E-212	7.89E-208	0.351910261	NFKBIZ+HIF1A+
CHD4	9.62E-211	2.44E-206	0.429512083	NFKBIZ+HIF1A+
RB1CC1	1.44E-210	3.65E-206	0.430031556	NFKBIZ+HIF1A+
TSC22D2	1.61E-208	4.08E-204	0.607427092	NFKBIZ+HIF1A+
PLEKHO2	1.19E-206	3.01E-202	0.631858558	NFKBIZ+HIF1A+
CYSTM1	3.91E-206	9.93E-202	0.271645757	NFKBIZ+HIF1A+
TCF25	6.73E-206	1.71E-201	0.36831836	NFKBIZ+HIF1A+
ZNF292	1.16E-205	2.94E-201	0.554240751	NFKBIZ+HIF1A+
ELOC	6.75E-205	1.71E-200	0.53961208	NFKBIZ+HIF1A+
DNAJC8	1.62E-204	4.12E-200	0.66749298	NFKBIZ+HIF1A+
ZNF438	2.38E-203	6.05E-199	1.159216782	NFKBIZ+HIF1A+
VPS37B	2.92E-203	7.42E-199	0.331918287	NFKBIZ+HIF1A+
JOSD1	7.54E-203	1.91E-198	0.284445356	NFKBIZ+HIF1A+
NEDD9	1.24E-202	3.15E-198	0.316369575	NFKBIZ+HIF1A+
BCLAF1	2.61E-202	6.62E-198	0.379716338	NFKBIZ+HIF1A+
HMGB1	6.54E-202	1.66E-197	0.267211352	NFKBIZ+HIF1A+
TRMT112	2.42E-200	6.16E-196	0.482966752	NFKBIZ+HIF1A+
PAFAH1B1	1.88E-198	4.78E-194	0.675822639	NFKBIZ+HIF1A+
FBXW7	2.00E-198	5.08E-194	0.734538529	NFKBIZ+HIF1A+
NFE2L2	2.28E-198	5.78E-194	0.295923178	NFKBIZ+HIF1A+
RAPGEF1	1.47E-197	3.73E-193	0.786515745	NFKBIZ+HIF1A+
RPGR	3.01E-196	7.63E-192	0.685481456	NFKBIZ+HIF1A+
MTHFS	1.42E-195	3.60E-191	0.574297341	NFKBIZ+HIF1A+
TRAPPC5	3.42E-195	8.68E-191	0.595191947	NFKBIZ+HIF1A+
RELL1	3.42E-195	8.69E-191	0.780741758	NFKBIZ+HIF1A+
ATF4	1.05E-194	2.67E-190	0.686619274	NFKBIZ+HIF1A+
CSF2RA	1.11E-194	2.83E-190	0.497258465	NFKBIZ+HIF1A+
C15orf39	4.33E-194	1.10E-189	0.427080462	NFKBIZ+HIF1A+
FLNA	7.91E-194	2.01E-189	0.49268412	NFKBIZ+HIF1A+
RNF19B	4.37E-193	1.11E-188	0.44372675	NFKBIZ+HIF1A+
RIPK2	5.00E-193	1.27E-188	0.538724237	NFKBIZ+HIF1A+
YWHAE	1.66E-192	4.21E-188	0.468345283	NFKBIZ+HIF1A+
BIRC2	2.03E-192	5.16E-188	0.564600233	NFKBIZ+HIF1A+
MIF	6.71E-192	1.70E-187	0.299135149	NFKBIZ+HIF1A+
MEF2D	3.69E-191	9.36E-187	0.485986949	NFKBIZ+HIF1A+
MAPK13	8.03E-191	2.04E-186	0.68105875	NFKBIZ+HIF1A+
KLHL24	3.14E-189	7.97E-185	0.586264259	NFKBIZ+HIF1A+
RYBP	1.71E-188	4.35E-184	0.388393432	NFKBIZ+HIF1A+
MIR3945HG	1.79E-188	4.54E-184	0.52882412	NFKBIZ+HIF1A+
NR4A3	2.65E-188	6.73E-184	0.388354792	NFKBIZ+HIF1A+
ZFYVE16	3.61E-188	9.16E-184	0.39316077	NFKBIZ+HIF1A+
ARF1	5.82E-188	1.48E-183	0.360641006	NFKBIZ+HIF1A+
SRRM2	6.09E-188	1.55E-183	0.326139585	NFKBIZ+HIF1A+
DUSP2	7.65E-187	1.94E-182	0.483572228	NFKBIZ+HIF1A+
RAB8B	2.01E-186	5.11E-182	0.339260553	NFKBIZ+HIF1A+
WASHC2C	2.03E-186	5.15E-182	0.650634758	NFKBIZ+HIF1A+
NFAT5	5.08E-186	1.29E-181	0.561955273	NFKBIZ+HIF1A+
HPCAL1	1.45E-185	3.68E-181	0.581726374	NFKBIZ+HIF1A+
ERBIN	1.28E-183	3.26E-179	0.419629565	NFKBIZ+HIF1A+
AKIRIN2	7.15E-183	1.82E-178	0.364595782	NFKBIZ+HIF1A+
GNG10	8.06E-183	2.05E-178	0.314119333	NFKBIZ+HIF1A+
YTHDF3	1.32E-179	3.36E-175	0.38767025	NFKBIZ+HIF1A+
GABARAPL2	7.06E-179	1.79E-174	0.290208008	NFKBIZ+HIF1A+
PSMA6	1.99E-177	5.06E-173	0.525444027	NFKBIZ+HIF1A+
TNFAIP2	4.57E-177	1.16E-172	0.283919117	NFKBIZ+HIF1A+
CPEB4	2.97E-176	7.54E-172	0.375568298	NFKBIZ+HIF1A+
MAP2K1	6.75E-176	1.71E-171	0.758303893	NFKBIZ+HIF1A+
ITPRIP	4.95E-175	1.26E-170	0.508118904	NFKBIZ+HIF1A+
ERV3-1	8.69E-175	2.21E-170	0.429171736	NFKBIZ+HIF1A+
DHX34	8.75E-175	2.22E-170	0.778179956	NFKBIZ+HIF1A+
CSGALNACT2	1.32E-174	3.36E-170	0.363288066	NFKBIZ+HIF1A+
RASSF5	4.30E-174	1.09E-169	0.296791683	NFKBIZ+HIF1A+
B4GALT1	8.68E-174	2.20E-169	0.300623821	NFKBIZ+HIF1A+
HOTAIRM1	1.35E-173	3.44E-169	0.565160661	NFKBIZ+HIF1A+
HECA	1.42E-173	3.61E-169	0.338560778	NFKBIZ+HIF1A+
DPH3	1.75E-169	4.44E-165	0.49233128	NFKBIZ+HIF1A+
SESN2	4.04E-169	1.03E-164	0.490334709	NFKBIZ+HIF1A+
VAMP2	2.83E-165	7.17E-161	0.355716492	NFKBIZ+HIF1A+
COQ7	3.21E-164	8.16E-160	0.553280369	NFKBIZ+HIF1A+
SLC31A2	6.20E-164	1.58E-159	0.729727765	NFKBIZ+HIF1A+
ADPGK	3.49E-163	8.86E-159	0.585549912	NFKBIZ+HIF1A+
HNRNPF	8.33E-163	2.11E-158	0.569007551	NFKBIZ+HIF1A+
RARA	8.41E-163	2.13E-158	0.440813972	NFKBIZ+HIF1A+
UBQLN1	4.05E-162	1.03E-157	0.652996027	NFKBIZ+HIF1A+
ARHGAP26	1.02E-161	2.59E-157	0.317397615	NFKBIZ+HIF1A+
MYO9B	1.91E-161	4.85E-157	0.441485858	NFKBIZ+HIF1A+
CD58	1.46E-160	3.71E-156	0.526879883	NFKBIZ+HIF1A+
SLC43A2	2.62E-160	6.66E-156	0.283550817	NFKBIZ+HIF1A+
ARHGEF40	2.82E-160	7.16E-156	0.302694562	NFKBIZ+HIF1A+
RIOK3	9.55E-159	2.42E-154	0.319931467	NFKBIZ+HIF1A+
GPR65	9.56E-158	2.43E-153	0.333692042	NFKBIZ+HIF1A+
KDM6A	1.11E-155	2.82E-151	0.490530833	NFKBIZ+HIF1A+
ATG12	2.05E-155	5.20E-151	0.628185095	NFKBIZ+HIF1A+
IFIH1	9.32E-154	2.37E-149	0.383476698	NFKBIZ+HIF1A+
PTPN12	1.82E-153	4.62E-149	0.386479706	NFKBIZ+HIF1A+
SRA1	7.96E-153	2.02E-148	0.414834553	NFKBIZ+HIF1A+
MTMR3	1.05E-152	2.65E-148	0.523976276	NFKBIZ+HIF1A+
RRP12	3.12E-152	7.92E-148	0.596942099	NFKBIZ+HIF1A+
MED13L	7.07E-152	1.80E-147	0.423592245	NFKBIZ+HIF1A+
DLEU2	2.55E-151	6.49E-147	0.679075896	NFKBIZ+HIF1A+
SERINC3	2.93E-151	7.44E-147	0.269797825	NFKBIZ+HIF1A+
BIRC3	1.49E-150	3.78E-146	0.507638695	NFKBIZ+HIF1A+
PDXK	1.62E-149	4.11E-145	0.511904768	NFKBIZ+HIF1A+
RLIM	7.00E-149	1.78E-144	0.4707665	NFKBIZ+HIF1A+
DNAJB6	3.15E-148	8.00E-144	0.437715629	NFKBIZ+HIF1A+
AC026979-2	5.90E-147	1.50E-142	0.465424351	NFKBIZ+HIF1A+
CYLD	6.86E-147	1.74E-142	0.40478412	NFKBIZ+HIF1A+
IFNGR1	2.11E-143	5.37E-139	0.267824445	NFKBIZ+HIF1A+
ID2	2.33E-143	5.93E-139	0.472009943	NFKBIZ+HIF1A+
IL10RA	4.33E-143	1.10E-138	0.471946134	NFKBIZ+HIF1A+
PACSIN2	7.37E-143	1.87E-138	0.544175917	NFKBIZ+HIF1A+
ATP6V1C1	1.00E-142	2.55E-138	0.766042882	NFKBIZ+HIF1A+
MANBA	1.54E-142	3.92E-138	0.562759512	NFKBIZ+HIF1A+
SVIL	1.88E-142	4.77E-138	0.526400925	NFKBIZ+HIF1A+
ARFIP1	2.14E-142	5.44E-138	0.585397458	NFKBIZ+HIF1A+
SF3B5	4.01E-142	1.02E-137	0.511324861	NFKBIZ+HIF1A+
USF3	4.11E-142	1.04E-137	0.752191778	NFKBIZ+HIF1A+
PPP1CB	3.38E-141	8.58E-137	0.283075524	NFKBIZ+HIF1A+
BACH1	7.16E-140	1.82E-135	0.284901703	NFKBIZ+HIF1A+
CSNK1A1	8.28E-140	2.10E-135	0.44683732	NFKBIZ+HIF1A+
PPP1R2	1.20E-139	3.06E-135	0.468409399	NFKBIZ+HIF1A+
TAF10	1.53E-139	3.90E-135	0.274716353	NFKBIZ+HIF1A+
CIB1	5.45E-139	1.38E-134	0.389052562	NFKBIZ+HIF1A+
RTF2	7.73E-139	1.96E-134	0.252761969	NFKBIZ+HIF1A+
JARID2	1.11E-138	2.83E-134	0.320984666	NFKBIZ+HIF1A+
RAPGEF2	1.41E-138	3.57E-134	0.474627973	NFKBIZ+HIF1A+
YBX1	1.52E-138	3.87E-134	0.353122072	NFKBIZ+HIF1A+
TMED5	1.03E-137	2.61E-133	0.516889827	NFKBIZ+HIF1A+
